#skipped n median low_quartile hi_quartile mean avg_dev std_dev vari skew kurt conf_lo conf_hi
80000 32 24.5 2.5 175.5 85.3438 89.0547 110.269 12159.2 1.32444 1.09136 4.000000 123.000000
81000 32 32.5 0.5 174 86.25 92.25 109.26 11937.7 1.11795 0.244411 3.000000 135.000000
82000 32 29.5 2.5 162.5 83.5625 88.8906 104.669 10955.7 1.04621 -0.0769149 3.000000 127.000000
83000 32 43 2 177.5 88.7188 88.8359 112.682 12697.2 1.39727 1.45509 4.000000 93.000000
84000 32 28.5 1 168.5 85.8125 89.7148 112.025 12549.6 1.30471 0.97615 2.000000 114.000000
85000 32 12 0.5 193.5 91.7188 99.7734 119.125 14190.9 1.04314 -0.116054 1.000000 125.000000
86000 32 32.5 0 180.5 89.7812 95.9141 114.285 13061 0.95879 -0.60427 1.000000 102.000000
87000 32 23.5 1.5 189 93.9062 101.258 125.552 15763.4 1.29085 0.67715 2.000000 119.000000
88000 32 24.5 1 181 91.2188 96.0723 117.588 13826.8 1.06652 -0.183277 1.000000 106.000000
89000 32 24.5 1 190.5 94.9688 98.1484 124.282 15446 1.18777 0.205991 2.000000 100.000000
90000 32 30 0 192.5 100.375 106.094 134.895 18196.6 1.22779 0.293555 1.000000 103.000000
91000 32 44.5 2.5 185.5 102.156 101.686 123.672 15294.8 1.09092 0.13469 6.000000 150.000000
92000 32 56 2.5 199.5 97.7188 95.041 114.043 13005.7 0.960151 -0.16075 5.000000 122.000000
93000 32 24 2 199 96.3125 102.141 121.46 14752.6 1.03368 -0.116251 3.000000 140.000000
94000 32 39.5 2 208.5 100.688 101.254 119.696 14327.1 0.885975 -0.574918 4.000000 128.000000
95000 32 39 2.5 213 105.688 107.066 125.43 15732.6 0.887953 -0.473023 8.000000 152.000000
96000 32 39 1 231 115.875 118.539 141.511 20025.4 0.965119 -0.283724 4.000000 163.000000
97000 32 42 0.5 205 115.094 116.98 147.898 21874 1.33079 1.2317 3.000000 150.000000
98000 32 29 1 209.5 111.188 115.586 138.288 19123.6 1.13492 0.624424 3.000000 176.000000
99000 32 40.5 1 240.5 112.531 114.16 130.637 17066 0.784886 -0.536561 1.000000 189.000000
100000 32 48 1 252 121.125 120.953 137.322 18857.5 0.656206 -1.11873 2.000000 207.000000
101000 32 40 1 245.5 117.344 117.971 135.219 18284.2 0.716218 -0.978751 3.000000 196.000000
102000 32 55.5 1 236.5 121.969 119.527 142.709 20366 0.934465 -0.187088 5.000000 168.000000
103000 32 72 1 203 121.781 116.941 141.366 19984.4 0.980521 0.0607461 2.000000 175.000000
104000 32 50.5 1 242 129.875 130.727 160.361 25715.5 1.16168 0.542291 6.000000 192.000000
105000 32 49 1 233.5 129.562 127.973 153.752 23639.7 0.982946 0.0239272 3.000000 175.000000
106000 32 72.5 1 256 131.812 127.238 149.958 22487.4 0.800266 -0.526003 3.000000 190.000000
107000 32 75 1 229.5 133.969 128.15 159.698 25503.3 1.10959 0.330695 9.000000 179.000000
108000 32 92 1 244.5 133.188 125.336 151.234 22871.6 0.888436 -0.255147 4.000000 186.000000
109000 32 77 1 227.5 132.438 126.59 148.72 22117.7 0.770063 -0.591515 4.000000 206.000000
110000 32 94.5 2.5 264.5 143.938 136.934 160.516 25765.4 0.738774 -0.730871 5.000000 207.000000
111000 32 94 2 292.5 151.719 142.576 164.199 26961.2 0.661804 -0.792814 7.000000 240.000000
112000 32 96 1.5 270.5 144.125 135 156.003 24336.8 0.684939 -0.715798 7.000000 233.000000
113000 32 99.5 3 288 150.969 141.781 160.345 25710.7 0.610231 -0.802476 9.000000 255.000000
114000 32 109 2 298 156.25 146.578 158.779 25210.6 0.312367 -1.57158 11.000000 269.000000
115000 32 93 4 330 160.781 154.268 170.109 28937 0.407859 -1.48392 5.000000 269.000000
116000 32 94.5 3 299 152.281 145.691 162.036 26255.8 0.514321 -1.17981 5.000000 267.000000
117000 32 106 2.5 276 152.5 141 158.998 25280.3 0.521531 -1.1643 9.000000 261.000000
118000 32 134.5 2.5 316 161.406 148.594 168.491 28389.1 0.521815 -1.12286 6.000000 245.000000
119000 32 121.5 3.5 313.5 167.125 154.258 169.647 28780.2 0.398347 -1.33521 14.000000 292.000000
120000 32 161.5 3 294.5 171.656 157.719 183.044 33505 0.725481 -0.457328 10.000000 263.000000
121000 32 154.5 2.5 342 182.312 166.082 187.682 35224.7 0.521138 -1.00953 9.000000 301.000000
122000 32 152 3 314 166.094 148.344 165.237 27303.3 0.358421 -1.39452 6.000000 287.000000
123000 32 148.5 3 307 171.438 151.938 173.424 30075.9 0.514013 -1.10439 16.000000 283.000000
124000 32 139 2 299.5 171.5 154.562 173.285 30027.8 0.48309 -1.11579 9.000000 278.000000
125000 32 141.5 3.5 303.5 162.781 148.906 165.431 27367.3 0.497514 -1.02305 10.000000 263.000000
126000 32 164 1.5 291 171.688 153.375 171.805 29517 0.521167 -0.849539 12.000000 280.000000
127000 32 173.5 1 308.5 177.469 154.469 170.904 29208.1 0.364755 -1.23494 18.000000 292.000000
128000 32 180 7 344.5 187.625 163.625 181.452 32924.7 0.371941 -1.26719 19.000000 310.000000
129000 32 206 3.5 348 194.125 169.75 195.811 38341.9 0.559019 -0.825098 14.000000 279.000000
130000 32 182.5 4.5 307 186.5 155.562 182.079 33152.7 0.554186 -0.872375 23.000000 271.000000
131000 32 171 4 339.5 189.25 161.203 184.874 34178.5 0.462817 -1.09325 7.000000 298.000000
132000 32 178 7 354.5 190.5 165.938 184.7 34114.1 0.344998 -1.35562 15.000000 292.000000
133000 32 179 4.5 334 190.25 166.5 186.648 34837.4 0.438645 -1.15662 14.000000 281.000000
134000 32 206.5 5.5 333.5 189.594 157.656 177.866 31636.4 0.340896 -1.32793 32.000000 294.000000
135000 32 223.5 9.5 375.5 198.656 166.053 189.252 35816.2 0.363802 -1.20321 14.000000 305.000000
136000 32 214 3 370 204.312 172.562 192.883 37204 0.243124 -1.50222 8.000000 338.000000
137000 32 202.5 4 349.5 193.375 161.938 181.954 33107.3 0.320712 -1.3915 27.000000 287.000000
138000 32 204.5 11 320 197.375 162.062 183.955 33839.5 0.373468 -1.26038 28.000000 298.000000
139000 32 240 4 360.5 212.5 171.469 200.163 40065.3 0.401775 -1.03541 15.000000 303.000000
140000 32 265 6.5 356.5 214.625 174.523 199.16 39664.6 0.302458 -1.27416 10.000000 314.000000
141000 32 249.5 6.5 372.5 220.906 183.35 205.248 42126.7 0.237844 -1.43635 13.000000 349.000000
142000 32 210 1.5 401 212.375 181.938 201.743 40700.4 0.235719 -1.50267 3.000000 337.000000
143000 32 217 8 338.5 209.906 175.844 199.458 39783.4 0.367856 -1.28066 11.000000 308.000000
144000 32 215 8 396 217.875 182.625 202.743 41104.6 0.253526 -1.52025 18.000000 334.000000
145000 32 215.5 10.5 382 216.406 176.969 200.224 40089.5 0.296753 -1.42847 22.000000 323.000000
